Customer_name,rental_amount,rental_quantity,active,country,city
"JIMENEZ OLGA",144.68,32,1,Nigeria,Ogbomosho
"JOHNSON PATRICIA",128.73,27,1,"United States","San Bernardino"
"JOHNSTON KRISTIN",116.69,31,1,"United States",Sunnyvale
"JONES BARBARA",81.78,22,1,Myanmar,Myingyan
"JORDAN TIFFANY",59.86,14,1,China,Enshi
"JORDON JERRY",143.71,29,1,Japan,Onomichi
"JOY JOSEPH",134.70,30,1,Brazil,"Angra dos Reis"
"JUNG CHRISTIAN",88.76,24,0,India,Amroha
"KAHN ALAN",124.74,26,1,China,Emeishan
"KELLEY ELSIE",141.63,37,1,Nigeria,Ikerre
"KELLY DENISE",103.73,27,1,Brazil,"Rio Claro"
"KENNEDY RHONDA",194.61,39,1,Netherlands,Apeldoorn
"KENYON JEROME",73.84,16,1,Chile,Rancagua
"KIM LILLIE",89.77,23,1,Egypt,Idfu
"KINDER REGINALD",115.72,28,1,Indonesia,Madiun
"KING MELISSA",123.66,34,1,Taiwan,Lungtan
"KNIGHT GAIL",109.75,25,1,Switzerland,Bern
"KNOTT KELLY",103.75,25,1,China,Sanya
"KOWALSKI CHARLES",138.68,32,1,Malaysia,"Sungai Petani"
"KRAUS LESTER",65.84,16,1,India,Kanchrapara
"KRUGER HERBERT",78.80,20,1,"Russian Federation",Syktyvkar
"LAMBERT MISTY",118.73,27,1,"United Arab Emirates",Sharja
"LANCE JACOB",79.79,21,1,"United States","El Monte"
"LANE RENEE",97.74,26,1,"United States",Compton
"LARSON HEIDI",122.66,34,0,China,Xiangfan
"LARUE DARYL",111.73,27,1,Iraq,Mosul
"LAWRENCE LAURIE",99.77,23,1,India,Firozabad
"LAWSON JEANNE",136.73,27,1,Turkmenistan,Ashgabat
"LAWTON LAWRENCE",100.69,31,1,Cameroon,Yaound
"LEE KIMBERLY",95.75,25,1,Argentina,Crdoba
"LEONE LOUIS",161.65,35,1,Philippines,Tanauan
"LEWIS SARAH",119.70,30,1,Latvia,Liepaja
"LINTON GEORGE",131.67,33,1,Brazil,Sorocaba
"LITTLE MAUREEN",87.79,21,1,Paraguay,Asuncin
"LOMBARDI DWIGHT",74.83,17,1,"South Africa",Chatsworth
"LONG JACQUELINE",148.67,33,1,Thailand,Songkhla
"LOPEZ AMY",127.71,29,1,India,Jhansi
"LOVELACE BARRY",134.67,33,1,Zambia,Kitwe
"LOWE PRISCILLA",157.65,35,1,Mexico,Salamanca
"LUCAS VELMA",117.73,27,1,Nigeria,Effon-Alaiye
"LUMPKIN WILLARD",96.78,22,1,Mexico,Carmen
"LYMAN LEWIS",86.81,19,1,Israel,Ashqelon
"LYNCH JACKIE",93.75,25,1,Colombia,Buenaventura
"MACKENZIE STEVE",158.66,34,1,Indonesia,Probolinggo
"MADRIGAL RALPH",150.66,34,1,"Puerto Rico",Arecibo
"MAHAN MATTHEW",114.69,31,1,Mexico,Cuautla
"MAHON DONALD",89.77,23,1,China,Ezhou
"MALCOLM CLIFTON",117.73,27,1,Taiwan,Tanshui
"MARK JOSHUA",119.70,30,1,India,Rampur
"MARKHAM WILLIE",101.75,25,1,Argentina,"Almirante Brown"
"MARLOW SAMUEL",80.79,21,1,India,Ranchi
"MARSHALL SHERRY",153.66,34,1,Egypt,"Shubra al-Khayma"
"MARTEL CALVIN",111.77,23,1,Venezuela,Maracabo
"MARTIN SANDRA",118.72,28,0,"United Kingdom",Southend-on-Sea
"MARTINEZ RUTH",125.76,24,1,"South Africa",Kimberley
"MARTINO HAROLD",130.68,32,1,Brazil,"Boa Vista"
"MASON JUANITA",110.70,30,1,India,Pune
"MATTHEWS ERICA",95.78,22,0,China,Pingxiang
"MATTOX RICK",124.73,27,1,Egypt,"Mit Ghamr"
"MAULDIN GREGORY",78.77,23,1,Tunisia,Sousse
"MAY GWENDOLYN",98.75,25,1,Japan,Higashiosaka
"MCADAMS ALFREDO",85.80,20,1,"Russian Federation",Serpuhov
"MCALISTER RENE",113.74,26,1,"United States","Garden Grove"
"MCCARTER MORRIS",139.66,34,1,Taiwan,Fengshan
"MCCARTNEY JESUS",114.76,24,1,Brazil,Guaruj
"MCCOY VERA",67.82,18,1,Afghanistan,Kabul
"MCCRARY RICHARD",109.75,25,1,"United States",Arlington
"MCCURDY BRAD",105.75,25,1,Taiwan,Chungho
"MCDONALD EDITH",71.81,19,1,India,Gandhinagar
"MCDUFFIE SAM",117.76,24,1,Colombia,Sogamoso
"MCKINNEY MIRIAM",135.74,26,1,Japan,Otsu
"MCWHORTER RAYMOND",135.70,30,1,Azerbaijan,Sumqayit
"MEADOR RICARDO",99.79,21,1,Japan,Okayama
"MEDINA DORA",107.77,23,1,China,Tianjin
"MEEHAN CORY",81.76,24,1,Belarus,Mogiljov
"MEEK ANTONIO",78.84,16,1,Brazil,Bag
"MENA CASEY",141.66,34,1,Turkey,Tokat
"MENARD PETER",106.77,23,1,Netherlands,Ede
"MENDOZA MARIAN",107.77,23,1,Brazil,Maring
"MEYER NATALIE",95.77,23,1,Brazil,"Aparecida de Goinia"
"MILAM JESSIE",141.67,33,1,China,Binzhou
"MILES BECKY",115.71,29,1,India,Tambaram
"MILLARD SHANE",95.78,22,1,Mexico,"La Paz"
"MILLER MARIA",151.67,33,1,Yugoslavia,Kragujevac
"MILLS ALICIA",83.79,21,1,India,Nagaon
"MILNER TOM",107.68,32,1,"United Arab Emirates","Abu Dhabi"
"MITCHELL STEPHANIE",118.75,25,1,Armenia,Yerevan
"MOELLER RODNEY",104.77,23,1,Nigeria,"Deba Habe"
"MONTGOMERY STACEY",151.66,34,1,China,Fuyu
"MOORE MARGARET",89.77,23,1,Oman,Masqat
"MORALES ANITA",62.85,15,1,India,Hubli-Dharwad
"MORENO STELLA",104.78,22,1,Mexico,"Coacalco de Berriozbal"
"MORGAN EVELYN",114.72,28,1,Liechtenstein,Vaduz
"MORRELL CRAIG",124.70,30,1,Philippines,Cavite
"MORRIS HEATHER",115.70,30,1,Japan,Nagareyama
"MORRISON BESSIE",132.72,28,1,Italy,Syrakusa
"MORRISSEY JASON",128.72,28,1,Argentina,"Baha Blanca"
"MOTLEY BRADLEY",126.73,27,1,India,"Purnea (Purnia)"
"MURPHY CHERYL",133.73,27,1,India,Mysore
"MURRAY THELMA",126.68,32,1,Peru,Lima
"MURRELL MANUEL",116.70,30,1,"Sri Lanka",Jaffna
"MYERS PEGGY",96.76,24,1,"Saudi Arabia",Abha
"NEAL PENNY",68.82,18,0,India,Kumbakonam
"NELSON DEBRA",141.71,29,1,Brazil,"Vila Velha"
"NETTLES JAIME",126.71,29,1,Peru,Hunuco
"NEUMANN RANDALL",99.77,23,1,"Dominican Republic","La Romana"
"NEWSOM PATRICK",119.69,31,1,Vietnam,Hanoi
"NGO JUSTIN",129.64,36,1,Brazil,"Santo Andr"
"NGUYEN TAMARA",93.75,25,1,Brazil,Anpolis
"NICHOLS SUZANNE",94.76,24,1,Indonesia,Jakarta
"NOE ELMER",98.74,26,1,Cambodia,Battambang
"NOLAND JULIO",89.79,21,1,Ukraine,Konotop
"NOLEN CODY",98.78,22,1,Brazil,"So Bernardo do Campo"
"OBRIEN LEONA",50.86,14,1,China,Fuzhou
"OCAMPO MARION",115.71,29,1,China,Weifang
"OGLESBY ISAAC",126.71,29,1,Mexico,Cuernavaca
"OLIVARES JORGE",134.66,34,1,Indonesia,Lhokseumawe
"OLIVER ELLA",137.69,31,1,Yemen,Aden
"OLSON ANNETTE",98.76,24,1,India,"Allappuzha (Alleppey)"
"OLVERA DWAYNE",101.78,22,1,India,Rajkot
"ORTIZ SYLVIA",143.68,32,1,Colombia,"Dos Quebradas"
"OUTLAW MARC",123.70,30,1,Italy,Brindisi
"OWENS CARMEN",97.74,26,1,Venezuela,Caracas
"PAINE DAN",109.78,22,1,"United Kingdom",Stockport
"PALMER MEGAN",92.73,27,1,China,Laiwu
"PARKER FRANCES",108.78,22,1,Brazil,"Juazeiro do Norte"
"PATTERSON WANDA",145.70,30,1,Colombia,Sincelejo
"PAYNE LYNN",123.72,28,1,Malawi,Lilongwe
"PEARSON IRMA",70.82,18,1,Philippines,Hagonoy
"PEMBERTON LANCE",82.78,22,1,Morocco,Beni-Mellal
"PENA ERIKA",101.74,26,1,Finland,Oulu
"PEREZ CAROLYN",117.70,30,1,Thailand,"Pak Kret"
"PERKINS GERALDINE",112.70,30,1,Israel,"Tel Aviv-Jaffa"
"PERRY SARA",141.67,33,1,Mexico,Atlixco
"PERRYMAN WALTER",127.70,30,1,China,Xinxiang
"PETERS SUE",154.60,40,1,China,Changzhou
"PETERSON NICOLE",94.78,22,1,India,Shivapuri
"PFEIFFER BOB",91.76,24,1,China,Xintai
"PHILLIPS JANET",127.73,27,1,Chile,Antofagasta
"PIERCE SALLY",119.68,32,1,India,Chandrapur
"PINSON JEFFERY",121.69,31,1,Pakistan,Dadu
"PITT MAX",107.76,24,1,Yugoslavia,"Novi Sad"
"POINDEXTER HECTOR",119.74,26,1,"Russian Federation",Pjatigorsk
"PORTER CARRIE",124.66,34,1,China,Liaocheng
"POULIN BILLY",149.65,35,1,Philippines,Cabuyao
"POWELL ANNE",87.77,23,1,"United Kingdom",Bradford
"POWER DARRELL",91.75,25,1,Canada,Halifax
"PREWITT KEN",110.71,29,1,Romania,Bucuresti
"PRICE IRENE",77.77,23,1,Kazakstan,Pavlodar
"PULLEN GLENN",93.77,23,1,Netherlands,Amersfoort
"PURDY ANDREW",109.73,27,1,Azerbaijan,Baku
"QUALLS STEPHEN",118.72,28,1,Bangladesh,Dhaka
"QUIGLEY TROY",144.70,30,1,Canada,Vancouver
"QUINTANILLA ROGER",146.64,36,1,Taiwan,Hsichuh
"RALSTON VINCENT",105.75,25,1,Mexico,Allende
"RAMIREZ CHRISTINA",80.82,18,1,"Saudi Arabia",al-Hawiya
"RAMOS EVA",83.82,18,1,"United States",Clarksville
"RAPP ANDRE",126.72,28,1,Chile,Coquimbo
"RATCLIFF DALE",112.73,27,1,"South Africa",Rustenburg
"RAY AUDREY",119.71,29,1,Austria,Graz
"REA JIM",128.67,33,1,Mexico,"El Fuerte"
"REED DORIS",100.78,22,1,"Russian Federation",Balaiha
